iter	Passed	Remaining
834	1796	355
835	1797	352
836	1799	350
837	1800	348
838	1804	346
839	1806	344
840	1808	341
841	1810	339
842	1811	337
843	1813	335
844	1814	332
845	1816	330
846	1821	328
847	1824	327
848	1826	324
849	1827	322
850	1829	320
851	1830	317
852	1831	315
853	1835	313
854	1839	312
855	1841	309
856	1843	307
857	1844	305
858	1845	302
859	1848	300
860	1852	298
861	1854	296
862	1856	294
863	1857	292
864	1858	290
865	1860	287
866	1861	285
867	1863	283
868	1865	281
869	1870	279
870	1872	277
871	1873	275
872	1874	272
873	1876	270
874	1879	268
875	1882	266
876	1883	264
877	1885	261
878	1886	259
879	1888	257
880	1889	255
881	1891	253
882	1899	251
883	1901	249
884	1902	247
885	1904	245
886	1906	242
887	1910	240
888	1917	239
889	1920	237
890	1928	235
891	1931	233
892	1935	231
893	1937	229
894	1940	227
895	1943	225
896	1946	223
897	1947	221
898	1949	219
899	1950	216
900	1952	214
901	1958	212
902	1963	210
903	1965	208
904	1966	206
905	1968	204
906	1971	202
907	1973	200
908	1976	197
909	1978	195
910	1980	193
911	1981	191
912	1983	188
913	1986	186
914	1988	184
915	1990	182
916	1992	180
917	1993	178
918	1995	175
919	1996	173
920	1997	171
921	2000	169
922	2004	167
923	2006	165
924	2008	162
925	2010	160
926	2011	158
927	2013	156
928	2016	154
929	2019	151
930	2021	149
931	2023	147
932	2025	145
933	2027	143
934	2030	141
935	2033	139
936	2036	136
937	2037	134
938	2040	132
939	2041	130
940	2043	128
941	2046	126
942	2049	123
943	2067	122
944	2069	120
945	2071	118
946	2072	115
947	2073	113
948	2075	111
949	2077	109
950	2080	107
951	2083	105
952	2085	102
953	2086	100
954	2088	98
955	2089	96
956	2090	93
957	2093	91
958	2095	89
959	2098	87
960	2099	85
961	2101	83
962	2102	80
963	2103	78
964	2106	76
965	2108	74
966	2110	72
967	2112	69
968	2113	67
969	2114	65
970	2116	63
971	2117	60
972	2118	58
973	2120	56
974	2123	54
975	2125	52
976	2127	50
977	2128	47
978	2129	45
979	2130	43
980	2132	41
981	2133	39
